Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Tuesday,31-50,Unknown,High school,5-10yr,Automobile,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,2,Not a Pedestrian,No priority to pedestrian,Serious Injury,7,12
Tuesday,18-30,Male,Elementary school,2-5yr,Other,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9,53
Tuesday,Under 18,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Below 1yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,9,53
Tuesday,Unknown,Female,Junior high school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Pedestrian,Male,5,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,9,53
Wednesday,Over 51,Male,High school,1-2yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,9,12
Wednesday,31-50,Male,Junior high school,1-2yr,Stationwagen,Governmental,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,28
Wednesday,Over 51,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,30
Wednesday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,18,15
Wednesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18,15
Wednesday,18-30,Male,High school,Above 10yr,Pick up upto 10Q,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,40
Wednesday,18-30,Male,Junior high school,Above 10yr,Taxi,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,40
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12,40
Friday,Over 51,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2,Unknown or other,Changing lane to the right,Slight Injury,8,0
Friday,18-30,Male,High school,2-5yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,8,0
Thursday,31-50,Male,Junior high school,2-5yr,Long lorry,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,13,41
Thursday,18-30,Male,Junior high school,1-2yr,Public (12 seats),Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,15,45
Thursday,31-50,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,Above 10yr,Office areas,other,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Other,Slight Injury,15,45
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Unknown or other,Changing lane to the right,Slight Injury,10,55
Friday,31-50,Male,Junior high school,1-2yr,Other,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,35
Friday,31-50,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,10,35
Friday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,10,18
Friday,31-50,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,11,30
Friday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,11,30
Friday,Unknown,Female,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,11,30
Friday,18-30,Male,Elementary school,2-5yr,Long lorry,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,45
Friday,Unknown,Male,Elementary school,5-10yr,Public (> 45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,2,Not a Pedestrian,Changing lane to the right,Slight Injury,14,10
Friday,Unknown,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17,15
Saturday,31-50,Male,Elementary school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,6,55
Saturday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,6,55
Saturday,Over 51,Male,Junior high school,2-5yr,Automobile,Owner,Above 10yr,Office areas,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,8,42
Saturday,31-50,Male,Elementary school,Above 10yr,Other,Owner,5-10yrs,Other,Double carriageway (median),Gentle horizontal curve,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,5,3,Not a Pedestrian,Driving carelessly,Slight Injury,8,42
Saturday,Over 51,Male,Junior high school,2-5yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Moving Backward,Slight Injury,14,52
Saturday,18-30,Male,Elementary school,Above 10yr,Automobile,Owner,5-10yrs, Church areas,Unknown,Tangent road with mountainous terrain and,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No distancing,Slight Injury,14,52
Sunday,18-30,Male,Junior high school,Above 10yr,Stationwagen,Owner,1-2yr,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,1,50
Sunday,Unknown,Male,Junior high school,2-5yr,Automobile,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,1,50
Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Changing lane to the left,Slight Injury,23,45
Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,23,45
Sunday,Over 51,Male,Junior high school,Below 1yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12,15
Sunday,Unknown,Male,Junior high school,Above 10yr,Automobile,Governmental,1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,2,Not a Pedestrian,Changing lane to the right,Slight Injury,12,15
Sunday,Unknown,Male,High school,Above 10yr,Pick up upto 10Q,Governmental,Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,19,15
Friday,Unknown,Female,Junior high school,5-10yr,Turbo,Organization,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,Moving Backward,Slight Injury,21,33
Friday,18-30,Male,Elementary school,5-10yr,Pick up upto 10Q,Organization,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,33
Monday,31-50,Male,Junior high school,5-10yr,Other,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,17,25
Monday,31-50,Male,Junior high school,5-10yr,Stationwagen,Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,22,40
Saturday,18-30,Male,Junior high school,Below 1yr,Pick up upto 10Q,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,17,15
Saturday,Unknown,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs, Church areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,15
Tuesday,31-50,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,12,4
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Above 10yr,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,17,13
Tuesday,18-30,Male,Elementary school,2-5yr,Automobile,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Wet or damp,Daylight,Raining,Collision with roadside objects,1,2,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,17,13
Sunday,31-50,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Unknown or other,No priority to vehicle,Slight Injury,18,44
Sunday,Unknown,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,44
Wednesday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Governmental,1-2yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,10
Wednesday,Unknown,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,18,10
Tuesday,Unknown,Male,Junior high school,2-5yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,15,27
Wednesday,18-30,Male,Junior high school,1-2yr,Stationwagen,Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,21,38
Wednesday,Unknown,Female,Junior high school,5-10yr,Automobile,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,21,38
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,12,20
Thursday,18-30,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,11,0
Thursday,31-50,Male,Elementary school,Below 1yr,Stationwagen,Organization,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,7,58
Thursday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7,58
Friday,Over 51,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,0,31
Friday,18-30,Male,High school,1-2yr,Automobile,Owner,1-2yr,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,0,31
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,15,43
Friday,Unknown,Female,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Other,One way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,20,40
Friday,Over 51,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Unknown,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,20,39
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Not a Pedestrian,Driving to the left,Slight Injury,9,16
Friday,31-50,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,9,16
Saturday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,12,45
Saturday,Over 51,Male,Elementary school,5-10yr,Stationwagen,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Other,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,14,50
Saturday,Over 51,Male,Junior high school,1-2yr,Public (12 seats),Governmental,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Other,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,14,50
Saturday,Over 51,Male,Junior high school,5-10yr,Public (12 seats),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Moving Backward,Slight Injury,14,50
Saturday,31-50,Male,Unknown,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,14,50
Saturday,18-30,Male,High school,2-5yr,Public (12 seats),Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,26
Saturday,Over 51,Male,Junior high school,1-2yr,Public (12 seats),Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Other,2,2,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,26
Sunday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16,15
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16,15
Sunday,18-30,Male,Junior high school,No Licence,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,2,40
Sunday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,2,40
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,18,1
Monday,Unknown,Female,Junior high school,5-10yr,Stationwagen,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,1
Tuesday,31-50,Male,High school,2-5yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,2,2
Monday,31-50,Male,High school,2-5yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16,22
Wednesday,Unknown,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,13,10
Tuesday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,9,17
Tuesday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs, Church areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,12,39
Tuesday,31-50,Male,Elementary school,2-5yr,Other,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Female,31-50,2,Crossing from driver's nearside,Driving under the influence of drugs,Serious Injury,10,35
Tuesday,Unknown,Female,Junior high school,2-5yr,Other,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,14,23
Wednesday,31-50,Male,Unknown,Above 10yr,Automobile,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,4,48
Wednesday,31-50,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,4,48
Wednesday,Unknown,Female,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,17
